s.index	Longitude	Latitude	Year	Month	Day	Emergencias	TRI_MEAN	TEM_MAX_MEAN	TEM_MIN_MEAN	PRESIPI_MEAN
3	-78.62924	-1.240436	2014	7	7	1	0.004375	22	16	1
3	-78.62924	-1.240436	2014	9	2	1	0.01494213	26	5	0
3	-78.62924	-1.240436	2014	10	28	1	0.009895833	19	10	0
3	-78.626032	-1.240054	2014	6	25	1	0.002210648	22	11	2
3	-78.626032	-1.240054	2014	9	8	1	0.008773148	21	8	0
3	-78.628182	-1.241718	2014	6	25	1	0.006759259	22	11	2
3	-78.628182	-1.241718	2014	6	28	1	0.002303241	25	9	0
3	-78.628182	-1.241718	2014	6	29	1	0.000891204	26	16	0
3	-78.628182	-1.241718	2014	9	22	1	0.006759259	19	12	3
3	-78.628182	-1.241718	2014	12	19	1	0.002511574	23	10	4
3	-78.629393	-1.244006	2014	6	28	1	0.004363426	25	9	0
3	-78.629393	-1.244006	2014	7	1	1	0.003993056	19	12	3
3	-78.624672	-1.242742	2014	6	28	1	0.002199074	25	9	0
3	-78.627641	-1.242343	2014	6	29	1	0.000972222	26	16	0
3	-78.627641	-1.242343	2014	11	1	1	0.006759259	20	7	7
3	-78.630885	-1.240909	2014	7	4	1	0.01005787	23	15	0
3	-78.628844	-1.245583	2014	7	5	1	0.006608796	12	11	0
3	-78.628201	-1.242875	2014	7	5	1	0.006689815	12	11	0
3	-78.628201	-1.242875	2014	8	9	1	0.005891204	20	8	0
3	-78.628201	-1.242875	2014	8	16	1	0.002013889	26	9	0
3	-78.628201	-1.242875	2014	9	8	1	0.006759259	21	8	0
3	-78.625599	-1.242503	2014	7	7	1	0.003043981	22	16	1
3	-78.628683	-1.237168	2014	7	9	1	0.001944444	27	19	0
3	-78.626984	-1.24591	2014	7	12	1	0.010162037	26	18	0
3	-78.626984	-1.24591	2014	12	31	1	0.001076389	24	15	0
3	-78.626902	-1.243058	2014	7	14	1	0.003240741	25	18	0
3	-78.626461	-1.24303	2014	7	15	1	0.008842593	20	10	0
3	-78.626461	-1.24303	2014	8	11	1	0.003541667	25	9	0
3	-78.626461	-1.24303	2014	9	19	1	0.000972222	12	10	0
3	-78.626461	-1.24303	2014	12	8	1	0.006759259	25	8	0
3	-78.626461	-1.24303	2014	12	12	1	0.00537037	23	13	0
3	-78.625985	-1.244248	2014	7	17	1	0.001539352	26	11	0
3	-78.625985	-1.244248	2014	8	29	1	0.002222222	20	8	0
3	-78.625985	-1.244248	2014	9	6	1	0.004178241	24	4	0
3	-78.625985	-1.244248	2014	10	6	1	0.004247685	9	7	0
3	-78.631429	-1.244769	2014	7	23	1	0.031076389	26	6	0
3	-78.631429	-1.244769	2014	11	7	1	0.005416667	21	10	2
3	-78.631429	-1.244769	2014	12	12	1	0.013229167	23	13	0
3	-78.62877	-1.24222	2014	7	25	1	0.012407407	24	9	0
3	-78.62877	-1.24222	2014	8	18	1	0.00625	22	17	0
3	-78.62877	-1.24222	2014	8	29	1	0.001805556	20	8	0
3	-78.62877	-1.24222	2014	9	16	1	0.014166667	23	11	0
3	-78.62877	-1.24222	2014	11	4	1	0.034236111	19	8	12
3	-78.630563	-1.243959	2014	7	27	1	0.004502315	25	19	0
3	-78.631073	-1.243329	2014	7	29	1	0.003287037	26	17	0
3	-78.631073	-1.243329	2014	10	7	1	0.005173611	23	14	0
3	-78.631073	-1.243329	2014	10	16	1	0.002685185	24	9	0
3	-78.631073	-1.243329	2014	10	22	1	0.006053241	23	13	3
3	-78.631073	-1.243329	2014	10	30	1	0.006759259	21	6	3
3	-78.629272	-1.241642	2014	7	29	1	0.002824074	26	17	0
3	-78.629557	-1.245162	2014	8	2	1	0.001550926	24	8	0
3	-78.629557	-1.245162	2014	9	24	1	0.004039352	23	10	0
3	-78.627039	-1.241777	2014	8	11	1	0.015717593	25	9	0
3	-78.627039	-1.241777	2014	9	5	1	0.002627315	26	17	0
3	-78.627039	-1.241777	2014	9	17	1	0.002418981	25	15	0
3	-78.629923	-1.243361	2014	8	11	1	0.00337963	25	9	0
3	-78.629923	-1.243361	2014	9	12	1	0.002523148	23	14	0
3	-78.625617	-1.241645	2014	8	14	1	0.032650463	19	8	0
3	-78.631494	-1.241469	2014	8	16	1	0.008715278	26	9	0
3	-78.631494	-1.241469	2014	8	29	1	0.021099537	20	8	0
3	-78.630329	-1.240391	2014	8	17	1	0.006759259	25	10	0
3	-78.630329	-1.240391	2014	9	13	1	0.006689815	21	6	0
3	-78.626621	-1.240224	2014	8	21	1	0.004444444	26	14	0
3	-78.626621	-1.240224	2014	11	27	1	0.0015625	22	11	0
3	-78.627095	-1.239542	2014	8	22	1	0.003113426	24	9	0
3	-78.627095	-1.239542	2014	12	9	1	0.024652778	23	15	0
3	-78.627095	-1.239542	2014	12	19	1	0.005798611	23	10	4
3	-78.629853	-1.242186	2014	8	23	1	0.004583333	24	14	0
3	-78.627704	-1.246025	2014	8	25	1	0.001435185	17	10	0
3	-78.62824	-1.245383	2014	8	26	1	0.002592593	22	10	0
3	-78.62824	-1.245383	2014	10	13	1	0.004247685	20	8	0
3	-78.630152	-1.23809	2014	8	27	1	0.011296296	24	9	0
3	-78.630152	-1.23809	2014	8	29	1	0.009884259	20	8	0
3	-78.630152	-1.23809	2014	11	24	1	0.002638889	23	7	0
3	-78.6263	-1.244899	2014	8	31	1	0.002939815	26	9	0
3	-78.627904	-1.239324	2014	9	1	1	0.006273148	25	6	0
3	-78.62712	-1.242942	2014	9	1	1	0.000891204	25	6	0
3	-78.626467	-1.24373	2014	9	2	1	0.003229167	26	5	0
3	-78.626467	-1.24373	2014	9	19	1	0.005069444	12	10	0
3	-78.626467	-1.24373	2014	10	1	1	0.003159722	24	9	0
3	-78.625613	-1.242941	2014	9	4	1	0.001064815	23	6	0
3	-78.625613	-1.242941	2014	10	11	1	0.009108796	20	11	2
3	-78.625613	-1.242941	2014	12	13	1	0.00630787	23	13	0
3	-78.629949	-1.245767	2014	9	4	1	0.020150463	23	6	0
3	-78.627949	-1.237275	2014	9	5	1	0.002037037	26	17	0
3	-78.627949	-1.237275	2014	10	13	1	0.006886574	20	8	0
3	-78.629096	-1.237545	2014	9	9	1	0.002615741	26	23	1
3	-78.626253	-1.243959	2014	9	12	1	0.005451389	23	14	0
3	-78.624189	-1.242495	2014	9	12	1	0.012337963	23	14	0
3	-78.624189	-1.242495	2014	9	18	1	0.007835648	20	6	0
3	-78.624189	-1.242495	2014	9	26	1	0.002199074	26	7	1
3	-78.624189	-1.242495	2014	10	28	1	0.005	19	10	0
3	-78.624189	-1.242495	2014	10	29	1	0.008460648	21	12	0
3	-78.62764	-1.244793	2014	9	13	2	0.007274306	21	6	0
3	-78.629342	-1.242818	2014	9	13	1	0.003287037	21	6	0
3	-78.629342	-1.242818	2014	12	4	1	0.002962963	20	15	3
3	-78.627905	-1.245026	2014	9	15	1	0.0353125	20	14	6
3	-78.627244	-1.246131	2014	9	20	1	0.023449074	23	14	1
3	-78.626279	-1.244873	2014	9	26	1	0.012013889	26	7	1
3	-78.624464	-1.242043	2014	9	27	1	0.003726852	26	7	1
3	-78.624464	-1.242043	2014	11	13	1	0.001400463	21	12	0
3	-78.628803	-1.243447	2014	9	27	1	0.001273148	26	7	1
3	-78.628803	-1.243447	2014	10	25	1	0.021180556	23	12	7
3	-78.628704	-1.241097	2014	9	29	1	0.009166667	25	8	0
3	-78.628937	-1.247101	2014	10	4	1	0.001516204	25	8	0
3	-78.628292	-1.236809	2014	10	6	1	0.001412037	9	7	0
